LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
F2080,"Comp. 4,50 X 31,50 X L 49,00 X V  6,75",34245.12,
F2081,"Comp. 4,50 X 31,80 X L 45,50 X V  5,75 ",34245.12,
F2082,"Comp. 4,00 X 33,40 X L 56,90 X V  6,75",34245.12,
F2083,"Comp. 4,25 x 35,20 x L 50 x P12,70 x V  6  (A  83)",36001.28,
F2088,"Comp. 2,25 x 10,60 x L 20,50 x V  7",9658.88,
F2101,"Comp. 4,75 X 34,50 X L 49,70 X V  6 ",39733.12,
F2103,Embrague Universal Mediano      (A 103),16661.57,
F2104,Embrague Universal Chico        (A 104),12073.60,
F2111,"Comp. 3,50 X 28,40 X L 44,80 X V  6",15567.01,
F2116,Embrague Universal Largo (A 116),26496.06,
F2124,"Comp. 3,00 X 26,70 X L 51,70 X V  7,50",22610.56,
F2125,"Comp. 3,50 X 32,70 X L 51,90 X V  6 ",33586.56,
F2126,"Comp. 2,75 X 22,80 X L 39,80 X V  6,25",21293.44,
F2127,"Comp. 3,50 X 24,75 X L 19,30 X V  3 ",11415.04,
F2137,"Comp. 4,50 X 35,60 X L 57,80 X V  6  ",29415.68,
F2139,"Comp. 1,50 x 16,80 x L 42 x P 6,40 x V  9  (A 139)",3648.94,
F2153,"Comp. 3,25 X 21,00 X L 25,00 X V  4",11524.80,
F2159,"Comp. 2,25 x 13,00 x L 15,60 x V 4,00",3292.80,
F2160,"Comp. 2,00 x 8,70 x L 14,80 x V 5,50",3402.56,
F2162,"Comp. 2,75 X 24,60 X L 31,40 X V  5",17825.02,
F2163,"Comp. 4,50 X 34,40 X L 38,60 X V  5",32818.24,
F2190,"Comp. 2,75 x 22,00 x L 40 x P 6,25 x V  8  (A 190)",18878.72,
F2191,"Comp. 2,00 x 18,50 x L 87 x P 8,25 x V 14  (A 191)",6563.65,
F2193,"Comp. 1,00 x 18,10 x L 63 x P 7,25 x V 12  (A 193)",2414.72,
F2202,"Comp. 4,25 X 31,25 X L 55,00 X V  7,25",34684.16,
F2203,"Comp. 4,25 X 35,00 X L 49,10 X V  6",37318.40,
F2204,"Comp. 3,25 x 30,40 x L 46 x P 8,75 x V  7  (A 204)",26342.40,
F2276,"Comp. 1,00 x 18,10 x L 43 x P 8,00 x V  8  (A 276)",3292.80,
F2286,"Comp. 2,75 X 25,60 X L 50,70 X V  8,75",21073.92,
F2287,"Comp. 3,75 X 36,30 X L 65,60 X V  7,50",34464.64,
F2293,"Comp. 4,25 X 27,70 X L 64,80 X V  8,50",23927.68,
F2301,"Comp. 7,00 X 32,50 X L 26,60 X V  3",48294.40,
F2302,"Comp. 7,00 X 30,00 X L 35,00 X V  4",50489.60,
F2303,"Comp. 7,00 X 27,90 X L 40,50 X V  4  ",51587.20,
F2308,"Comp. 4,25 X 27,50 X L 60,40 X V  8",23269.12,
F2335,"Comp. 4,50 X 21,80 X L 27,50 X V  4,50 ",14685.89,
F2338,"Comp. 3,00 X 16,90 X L 20,50 X V  4,75",10536.96,
F2339,"Comp. 2,25 x 21,50 x L 35,40 x V  7",14466.37,
F2340,"Comp. 4,50 X 34,50 X L 50,60 X V  6 ",39294.08,
F2341,"Comp. 3,00 X 26,00 X L 42,10 X V  7",23708.16,
F2342,"Comp. 3,75 X 29,20 X L 48,10 X V  7,50",37098.88,
F2343,"Comp. 2,75 X 19,80 X L 43,10 X V  9,25",22830.08,
F2344,"Comp. 3,50 X 28,50 X L 45,60 X V  6,50",28098.56,
F2345,"Comp. 4,00 V 32,00 X L 48,40 X V  6,25",31171.84,
F2346,"Comp. 4,25 X 33,40 X L 50,60 X V  6,25",36220.80,
F2347,"Comp. 3,50 X 30,20 X L 39,90 X V  5,50",26561.92,
F2348,"Comp. 2,50 X 21,00 X L 33,40 X V  6,25",16968.90,
F2349,"Comp. 4,75 X 34,70 X L 48,50 X V  6 ",43025.92,
F2353,"Comp. 4,00 X 29,60 X L 47,90 X V  7,50",32708.48,
F2398,"Comp. 2,25 x 15,00 x L 32,90 x V  7",8122.24,
F2400,"Comp. 3,00 X 14,60 X L 18,00 X V  4",8232.00,
F2401,"Comp. 2,25 x 13,20 x L 21,80 x V 5,00",7134.40,
F2404,"Comp. 1,75 x 7,90 x L 16,40 x V 6,50",7353.92,
F2405,"Comp. 2,75 X 14,50 X L 41,00 X V  9",9325.21,
F2450,"TAMBLINERA Comp. 4,50 x 37,40 x L 100,00 x V 10,75",23480.00,
F3120,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 120 mm,13400.00,
F3130,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 130 mm,16800.00,
F3140,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 140 mm,17500.00,
F3150,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 150 mm,19980.00,
F3160,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 160 mm,20790.00,
F3180,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 180 mm,23800.00,
F3181,TRIANGULO DE 5 MM . PARA ENGANCHE DE RESORTES CAMA ELASTICA,3350.00,
F3210,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 210 mm,31400.00,
F3260,RESORTE BICONICO PARA CAMA ELASTICA LARGO TOTAL 260 mm,32950.00,
MANC25,Traba mariposa para barra o mancuerna de 25mm,12293.12,
MANC28,Traba mariposa para barra o mancuerna de 28mm,12556.54,
MANC30,Traba mariposa para barra o mancuerna de 30mm,14598.08,
RE87Z,RESORTE CONICO P/ TAMBLINERA - TABLA DE PIQUE - L. TOTAL 210 MM ,88000.00,
D31,DISPLEY LINEA FERRETERIA,1449111.61,
SET31,FERRETERIA COMUN CON 7 CAJAS.,3862903.24,
D30,DISPLEY LINEA FERRETERIA COMPLETO (2),0.00,
SET30,FERRETERIA COMPLETA CON 11 CAJAS.,0.00,
D300,DYSPLEY LINEA FERRETERIA CHICO.,1449111.61,
SET300,FERRETERIA CHICO CON 3 CAJAS Y 4 RESORTES C/U.,2116101.70,
D38,DISPLEY LINEA FERRETERIA AGREGADOS,0.00,
SET38,FERRETERIA AGREGADOS CON 4 CAJAS Y 464 RESORT. ,5522958.64,
SETEXPO,SET RESORTES 773 PIEZAS-7CAJAS Y DISPLEY,4652528.34,
SET27,SET RESORTES MATRICERIA 330  PIEZAS. 3 CAJAS Y DISPLAY SIN CARGO.,7144447.97,
SETGYM,SET GYM CON 5 RESORTES DE C/U + DISPLAY + 1 CAJA DE MADERA,1582115.08,
SET28,"SET RESORTES BULONERIAS. 85 MODELOS. 1136 RESORTES, 7 CAJAS Y DISPLEY",7646955.08,
,,,
,RESORTES TIPO INDUSTRIAL,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
F301,TRACCION Nº 301                           FHC 1001,27463.90,
F302,TRACCION Nº 302                           FHC 1002,21742.60,
F303,TRACCION Nº 303                           FHC 1003,22301.41,
F304,TRACCION Nº 304                           FHC 1004,21475.43,
F305,TRACCION Nº 305                           FHC 1005,21551.76,
F306,TRACCION Nº 306                           FHC 1006,20869.74,
F307,TRACCION Nº 307                           FHC 1007,22437.95,
F308,TRACCION Nº 308                           FHC 1008,19791.03,
F309,TRACCION Nº 309                           FHC 1009,20671.84,
F310,TRACCION Nº 310                           FHC 1010,27987.74,
F311,TRACCION Nº 311                           FHC 1011,24768.67,
F312,TRACCION Nº 312                           FHC 1012,29811.74,
F313,TRACCION Nº 313                             A  320,21126.95,
F314,TRACCION Nº 314                           FHC 1014,20004.88,
F315,TRACCION Nº 315                           FHC 1015,20384.78,
F316,TRACCION Nº 316                           FHC 1016,20314.51,
F317,TRACCION Nº 317                             A  279,22609.55,
F318,TRACCION Nº 318                           FHC 1018,18975.33,
F319,TRACCION Nº 319                           FHC 1019,18910.88,
F320,TRACCION Nº 320                           FHC 1020,18327.59,
F321,TRACCION Nº 321                           FHC 1021,17275.73,
F322,TRACCION Nº 322                             A  102,17575.57,
F323,TRACCION Nº 323                             A  100,16823.56,
F324,TRACCION Nº 324                             A   70,15781.09,
F325,TRACCION Nº 325                             A   16,18237.68,
F326,TRACCION Nº 326                             A  251,14618.40,
F383,RESORTES FERRETERIA IDEM A 383,61465.60,
F384,RESORTE FERRETERIA IDEM A 384,58172.80,
F396,RESORTE HIDROLAVADORA,16297.48,
F397,AIRE COMPRIMIDO CHINO,18870.77,
F398,AIRE COMPRIMIDO MAELY SENIOR,18870.77,
F399,AIRE COMPRIMIDO MAELY MASTER,18870.77,
F400,AIRE COMPRIMIDO COMUN,18870.77,
D180,DISPLEY LINEA INDUSTRIALES,0.00,
SET180,RESORTES INDUSTRIALES CON 3 CAJAS Y 5 RESORT C/U Y DISPLEY.,4056410.81,
,,,
,RESORTES DOBLAR CAÑOS,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
FDC1,"1""  Hidrobronz. Resorte para doblar caños.       Ý",110138.68,
FDC2,"3/4"" Hidrobronz. Resorte para doblar caños.",62397.11,
FDC3,"1/2"" Hidrobronz. Resorte para doblar caños.",36194.77,
FDC4,"3/8"" Hidrobronz. Resorte para doblar caños.",31087.53,
FDC5,"3/8"" Cobre. Resorte para doblar caños.",27756.72,
FDC6,"1/4"" Cobre. Resorte para doblar caños.",26646.45,
,,,
,RESORTES HORNOS COCINA,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
FHC1001,Universal super largo. Varios modelos.,27463.90,
FHC1002,Oro Azul Virona.,21742.60,
FHC1003,Oro Azul Visor.,22301.41,
FHC1004,Oro Azul Economac.,21475.43,
FHC1005,Oro Azul Olimpia.,21551.76,
FHC1006,Domec.Tensor de parrilla.,20869.74,
FHC1007,Arthur Martin Colarin.,22437.95,
FHC1008,Eslabon de Lujo y Simplex. Parrilla.,19791.03,
FHC1009,Domec Antiguo.,20671.84,
FHC1010,Longvie Rector.,27987.74,
FHC1011,Arthur Martin moderno.,24768.67,
FHC1012,Longvie espejado.,29811.74,
FHC1013,Aurora visor.,19451.67,
FHC1014,Aurora Especial.,20004.88,
FHC1015,Pompella antigua. Varios,20384.78,
FHC1016,Orbis Sivarita.,20314.51,
FHC1017,Longvie Eslabon.,15583.72,
FHC1018,Gendin corto.,18975.33,
FHC1019,Orbis comun.,18910.88,
FHC1020,Oro Azul plancha.,18327.59,
FHC1021,Orbis. Modelos varios.,17275.73,
FHC1022,Domec Apolo.,18345.29,
FHC1024,"Cocina Industrial. 4,00 X 23,00 Derecho.",61158.27,
FHC1025,"Cocina Industrial. 4,00 X 23,00 Izquierdo.",61158.27,
FHC1026,"Cocina Industrial. 4,75 X 23,00 Derecho.",61158.27,
FHC1027,"Cocina Industrial. 4,75 X 23,00 Izquierdo.",61158.27,
D33,DISPLEY HORNOS COCINA,0.00,
SET33,HORNOS COCINAS CON 4 CAJAS Y 3 RESORTES C/U Y 1 EXHIBIDOR.,3910636.01,
,,,
,RESORTES METRO COMPRESION,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
MC032,"Mtro Comp. 0,30 X  2,00 P 1,20",17218.41,
MC033,"Mtro Comp. 0,30 X  3,00 P 1,30",19082.11,
MC034,"Mtro Comp. 0,30 X  4,00 P 2,10",19388.09,
MC035,"Mtro Comp. 0,30 X  5,00 P 2,40",19527.17,
MC036,"Mtro Comp. 0,30 X  6,00 P 3,00",19944.42,
MC053,"Mtro Comp. 0,50 X  3,00 P 1,50",18219.80,
MC054,"Mtro Comp. 0,50 X  4,00 P 1,70",18803.95,
MC0545,"Mtro Comp. 0,50 X  4,50 P 2,00",19443.72,
MC055,"Mtro Comp. 0,50 X  5,00 P 2,20",20194.77,
MC056,"Mtro Comp. 0,50 X  6,00 P 3,00",20612.02,
MC057,"Mtro Comp. 0,50 X  7,00 P 3,10",21279.61,
MC058,"Mtro Comp. 0,50 X  8,00 P 3,50",21891.58,
MC0510,"Mtro Comp. 0,50 X 10,00 P 4,20",31377.00,
MC0512,"Mtro Comp. 0,50 X 12,00 P 6,00",31432.63,
MC064,"Mtro Comp. 0,60 X  4,00 P 2,10",30681.59,
MC065,"Mtro Comp. 0,60 X  5,00 P 2,40",31265.73,
MC066,"Mtro Comp. 0,60 X  6,00 P 3,00",31571.71,
MC067,"Mtro Comp. 0,60 X  7,00 P 3,30",31877.69,
MC068,"Mtro Comp. 0,60 X  8,00 P 3,60",34019.56,
MC069,"Mtro Comp. 0,60 X  9,00 P 4,00",34353.36,
MC0610,"Mtro Comp. 0,60 X 10,00 P 4,60",34353.36,
MC0612,"Mtro Comp. 0,60 X 12,00 P 5,90",41669.10,
MC0614,"Mtro Comp. 0,60 X 14,00 P 7,00",41669.10,
MC073,"Mtro Comp. 0,70 X  3,00 P 1,60",41669.10,
MC074,"Mtro Comp. 0,70 X  4,00 P 2,30",33407.60,
MC076,"Mtro Comp. 0,70 X  6,00 P 3,10",33407.60,
MC078,"Mtro Comp. 0,70 X  8,00 P 4,40",33435.42,
MC0710,"Mtro Comp. 0,70 X 10,00 P 5,70",33713.58,
MC084,"Mtro Comp. 0,80 X  4,00 P 2,00",21557.78,
MC085,"Mtro Comp. 0,80 X  5,00 P 3,40",21641.23,
MC086,"Mtro Comp. 0,80 X  6,00 P 3,10",19944.42,
MC087,"Mtro Comp. 0,80 X  7,00 P 3,80",20250.40,
MC088,"Mtro Comp. 0,80 X  8,00 P 4,20",20639.83,
MC089,"Mtro Comp. 0,80 X  9,00 P 4,50",21863.76,
MC0810,"Mtro Comp. 0,80 X 10,00 P 5,30",23087.68,
MC0812,"Mtro Comp. 0,80 X 12,00 P 6,10",31794.25,
MC0814,"Mtro Comp. 0,80 X 14,00 P 7,00",33351.97,
MC0938,"Mtro Comp. 0,90 X  3,80 P 2,10",98784.00,
MC15,"Mtro Comp. 1,00 X  5,00 P 2,50",24756.67,
MC16,"Mtro Comp. 1,00 X  6,00 P 2,90",22114.11,
MC17,"Mtro Comp. 1,00 X  7,00 P 3,20",24756.67,
MC18,"Mtro Comp. 1,00 X  8,00 P 3,70",22253.19,
MC19,"Mtro Comp. 1,00 X  9,00 P 4,20",25368.64,
MC110,"Mtro Comp. 1,00 X 10,00 P 4,60",24005.63,
MC111,"Mtro Comp. 1,00 X 11,00 P 4,90",27677.41,
MC112,"Mtro Comp. 1,00 X 12,00 P 5,60",24033.45,
MC113,"Mtro Comp. 1,00 X 13,00 P 6,30",31822.06,
MC114,"Mtro Comp. 1,00 X 14,00 P 6,5",33268.52,
MC116,"Mtro Comp. 1,00 X 16,00 P 8,00",34714.98,
MC118,"Mtro Comp. 1,00 X 18,00 P 9,00",36105.80,
MC120,"Mtro Comp. 1,00 X 20,00 P10,20",37691.34,
MC1256,"Mtro Comp. 1,25 X  6,00 P 3,00",23866.55,
MC1257,"Mtro Comp. 1,25 X  7,00 P 3,50",24478.51,
MC1258,"Mtro Comp. 1,25 X  8,00 P 3,80",24951.39,
MC1259,"Mtro Comp. 1,25 X  9,00 P 4,40",25535.54,
MC12510,"Mtro Comp. 1,25 X 10,00 P 5,30",24450.69,
MC12512,"Mtro Comp. 1,25 X 12,00 P 5,80",26648.20,
MC12514,"Mtro Comp. 1,25 X 14,00 P 7,00",27760.85,
MC12516,"Mtro Comp. 1,25 X 16,00 P 8,20",32211.49,
MC12518,"Mtro Comp. 1,25 X 18,00 P 9,00",35549.47,
MC12520,"Mtro Comp. 1,25 X 20,00 P10,50",37774.79,
MC158,"Mtro Comp. 1,50 X  8,00 P 3,50",26898.54,
MC159,"Mtro Comp. 1,50 X  9,00 P 4,20",27176.71,
MC1510,"Mtro Comp. 1,50 X 10,00 P 4,50",29207.31,
MC1512,"Mtro Comp. 1,50 X 12,00 P 5,70",28558.88,
MC1514,"Mtro Comp. 1,50 X 14,00 P 7,40",29609.81,
MC1516,"Mtro Comp. 1,50 X 16,00 P 7,80",31737.93,
MC1518,"Mtro Comp. 1,50 X 18,00 P 8,70",34890.71,
MC1520,"Mtro Comp. 1,50 X 20,00 P 8,90",38069.75,
MC1525,"Mtro Comp. 1,50 X 25,00 P11,20",43508.29,
MC1530,"Mtro Comp. 1,50 X 30,00",62635.67,
MC1535,"Mtro Comp. 1,50 X 35,00",87689.93,
MC1540,"Mtro Comp. 1,50 X 40,00 ",97508.49,
MC17510,"Mtro Comp. 1,75 X 10,00 P 4,40",30345.46,
MC17512,"Mtro Comp. 1,75 X 12,00 P 5,20",31370.11,
MC17514,"Mtro Comp. 1,75 X 14,00 P 5,80",35416.17,
MC17516,"Mtro Comp. 1,75 X 16,00 P 7,20",44228.22,
MC17518,"Mtro Comp. 1,75 X 18,00 P 9,10",46759.52,
MC17520,"Mtro Comp. 1,75 X 20,00 P 9,60",50987.62,
MC17522,"Mtro Comp. 1,75 X 22,00 P 9,70",58664.97,
MC17525,"Mtro Comp. 1,75 X 25,00 P11,80",59499.47,
MC17530,"Mtro Comp. 1,75 X 30,00 P11,80",70366.28,
MC212,"Mtro Comp. 2,00 X 12,00 P 5,50",38720.55,
MC214,"Mtro Comp. 2,00 X 14,00 P 6,00",44784.55,
MC216,"Mtro Comp. 2,00 X 16,00 P 7,00",45563.41,
MC218,"Mtro Comp. 2,00 X 18,00 P 9,00",46629.08,
MC220,"Mtro Comp. 2,00 X 20,00 P 9,90",50147.39,
MC222,"Mtro Comp. 2,00 X 22,00 P10,00",54533.86,
MC225,"Mtro Comp. 2,00 X 25,00 P11,50",58052.18,
MC230,"Mtro Comp. 2,00 X 30,00 P14,00",72125.43,
MC232,"Mtro Comp. 2,00 X 32,00 ",134158.92,
MC235,"Mtro Comp. 2,00 X 35,00 P16,00",105549.41,
MC240,"Mtro Comp. 2,00 X 40,00 ",136424.41,
MC22514,"Mtro Comp. 2,25 X 14,00 P 6,30",48849.51,
MC22516,"Mtro Comp. 2,25 X 16,00 P 7,40",50147.39,
MC22518,"Mtro Comp. 2,25 X 18,00 P 7,80",52774.71,
MC22520,"Mtro Comp. 2,25 X 20,00 P10,00",56293.02,
MC22522,"Mtro Comp. 2,25 X 22,00 P 9,00",60702.34,
MC22525,"Mtro Comp. 2,25 X 25,00 P11,30",62461.49,
MC22530,"Mtro Comp. 2,25 X 30,00 P14,00",83571.37,
MC2514,"Mtro Comp. 2,50 X 14,00 P 6,50",51015.55,
MC2516,"Mtro Comp. 2,50 X 16,00 P 6,50",54533.86,
MC2518,"Mtro Comp. 2,50 X 18,00 P 8,00",57184.02,
MC2520,"Mtro Comp. 2,50 X 20,00 P 9,50",61570.49,
MC2522,"Mtro Comp. 2,50 X 22.00 P 9,30",64220.65,
MC2525,"Mtro Comp. 2,50 X 25,00 P11,90",69402.14,
MC2530,"Mtro Comp. 2,50 X 30.00 P14,10",83449.46,
MC27514,"Mtro Comp. 2,75 X 14,00 P 6,60",56293.02,
MC27516,"Mtro Comp. 2,75 X 16,00 P 7,30",58943.18,
MC27518,"Mtro Comp. 2,75 X 18,00 P 7,50",62461.49,
MC27520,"Mtro Comp. 2,75 X 20,00 P 9,00",65979.81,
MC27522,"Mtro Comp. 2,75 X 22,00 P 9,00",70366.28,
MC27525,"Mtro Comp. 2,75 X 25,00 P11,70",70366.28,
MC27530,"Mtro Comp. 2,75 X 30,00 P12,50",85330.53,
MC27535,"Mtro Comp. 2,75 X 35,00 P12,51",130223.30,
MC27540,"Mtro Comp. 2,75 X 40,00 P12,52",155571.70,
MC318,"Mtro Comp. 3,00 X 18,00 P 8,50",72125.43,
MC320,"Mtro Comp. 3,00 X 20,00 P 8,50",77913.98,
MC322,"Mtro Comp. 3,00 X 22,00 P 9,50",84562.12,
MC325,"Mtro Comp. 3,00 X 25,00 P11,50",85535.70,
MC328,"Mtro Comp. 3,00 X 28,00 P11,50",90403.59,
MC330,"Mtro Comp. 3,00 X 30,00 P13,60",92211.66,
MC332,"Mtro Comp. 3,00 X 32,00 ",130340.11,
MC335,"Mtro Comp. 3,00 X 35,00 P15,00",131068.61,
MC350,"Mtro Comp. 3,00 X 50",218452.00,
MC3530,"Mtro Comp. 3,50 X 30,00 ",176467.80,
MC3532,"Mtro Comp. 3,50 X 32,00 ",176662.51,
MC422,"Mtro Comp. 4,00 X 22,00 P 9,00",135939.18,
MC425,"Mtro Comp. 4,00 X 25,00 P11,00",136022.63,
MC430,"Mtro Comp. 4,00 X 30,00 P13,00",136300.79,
MC435,"Mtro Comp. 4,00 X 35,00 P15,00",139864.39,
MC440,"Mtro Comp. 4,00 X 40,00 P17,00",145141.87,
MC445,"Mtro Comp. 4,00 X 45,00 P18,00",189120.79,
MC450,"Mtro Comp. 4,00 X 50,00 P22,00",202303.04,
MC4530,"Mtro Comp. 4,50 X 30,00 P13,00",165863.36,
MC4535,"Mtro Comp. 4,50 X 35,00 P14,00",184292.63,
MC4540,"Mtro Comp. 4,50 X 40,00 P16,00",193507.26,
MC4545,"Mtro Comp. 4,50 X 45,00 P19,00",211936.52,
MC4550,"Mtro Comp. 4,50 X 50,00 P21,00",219308.22,
MC525,"Mtro Comp. 5,00 X 25,00 P11,00",184292.63,
MC530,"Mtro Comp. 5,00 X 30,00 P12,00",193507.26,
MC535,"Mtro Comp. 5,00 X 35,00 P14,00",202721.89,
MC540,"Mtro Comp. 5,00 X 40,00 P16,00",227956.12,
MC545,"Mtro Comp. 5,00 X 45,00 P20,00",228929.69,
MC550,"Mtro Comp. 5,00 X 50,00 P21,00",236996.48,
MC630,"Mtro Comp. 6,00 X 30,00 X P 12",246743.37,
MC635,"Mtro Comp. 6,00 X 35,00 X P 13",252911.96,
MC640,"Mtro Comp. 6,00 X 40,00 P17,00",259080.54,
MC650,"Mtro Comp. 6,00 X 50,00 P23,00",268333.42,
MC660,"Mtro Comp. 6,00 X 60,00 ",420702.12,
MC840,"Mtro Comp. 8,00 X 40,00",424090.17,
MC850,"Mtro Comp. 8,00 X 50,00",427507.43,
MC860,"Mtro Comp. 8,00 X 60,00",464629.92,
MC870,"Mtro Comp. 8,00 X 70,00 X P34",468222.42,
MC875,"Mtro Comp. 8,00 X 75,00 X P 36",469945.65,
MC1040,"Mtro Comp. 10,00 X 40,00",518166.93,
MC1050,"Mtro Comp. 10,00 X 50,00",532040.40,
MC1055,"Mtro Comp. 10,00 X 55,00",673900.31,
MC1060,"Mtro Comp. 10,00 X 60,00",673900.31,
MC1070,"Mtro Comp. 10,00 X 70,00",727116.04,
MC1075,"Mtro Comp. 10,00 X 75,00",729540.24,
MC1240,"Mtro Comp. 12,00 X 40,00",744844.87,
MC1250,"Mtro Comp. 12,00 X 50,00",851276.32,
MC1260,"Mtro Comp. 12,00 X 60,00",932852.34,
MC1270,"Mtro Comp. 12,00 X 70,00 X P 22",1028623.12,
MC1275,"Mtro Comp. 12,00 X 75,00 X P 24",1064110.00,
MC1280,"Mtro Comp. 12,00 X 80,00",1117296.52,
MC1340,"Mtro Comp. 13,00 X 40,00",833576.69,
MC1350,"Mtro Comp. 13,00 X 50,00",943659.05,
MC1360,"Mtro Comp. 13,00 X 60,00",993340.69,
MC1370,"Mtro Comp. 13,00 X 70,00",1081838.84,
MC1380,"Mtro Comp. 13,00 X 80,00 X P 26",1205940.71,
SET50,METROS DE 50 MEDIDAS Y 1 PERCHERO,1964226.84,
SET52,METROS 52 MEDIDAS Y 2 PERCHEROS.,2397280.99,
SET102,"METROS DE MAS SALIDA, CON 102 METROS Y 3 PERCHEROS",4361507.83,
SET32,"METROS 1,75 X 25 HASTA 2,25 X 18, CON  1 PERCHERO",2187152.78,
SET34,"METROS 2,25 X 20 HASTA 2,75 X 16 , CON 1 PERCHERO.",2500642.72,
SET35,"METROS 2,75 X 18 HASTA 3 X 35, CON 1 PERCHERO.",3117058.48,
SET204,"METROS 4 X 22 HASTA 5 X 25, CON 1 PERCHERO.",4034992.42,
SET224,"METROS 5 X 30 HASTA 6 X 50, CON  1 PERCHERO.",5325536.45,
SET41,METROS COMPLETO (264 MEDIDAS) Y 11 PERCHEROS.,23869061.33,
,,,
,RESORTES METRO EXPANSION,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
ME032,"0,30 X  2,00 Metro Expansion",31794.25,
ME033,"0,30 X  3,00 Metro Expansion",40472.99,
ME034,"0,30 X  4,00 Metro Expansion",49273.60,
ME035,"0,30 X  5,00 Metro Expansion",69346.50,
ME036,"0,30 X  6,00 Metro Expansion",79499.52,
ME053,"0,50 X  3,00 Metro Expansion",28901.33,
ME054,"0,50 X  4,00 Metro Expansion",41919.45,
ME0545,"0,50 X  4,50 Metro Expansion",43032.11,
ME055,"0,50 X  5,00 Metro Expansion",44071.91,
ME056,"0,50 X  6,00 Metro Expansion",47510.56,
ME057,"0,50 X  7,00 Metro Expansion",54130.89,
ME058,"0,50 X  8,00 Metro Expansion",65201.85,
ME0510,"0,50 X 10,00 Metro Expansion",89596.91,
ME0512,"0,50 X 12,00 Metro Expansion",104061.48,
ME064,"0,60 X  4,00 Metro Expansion",43059.92,
ME065,"0,60 X  5,00 Metro Expansion",47705.28,
ME066,"0,60 X  6,00 Metro Expansion",52044.65,
ME067,"0,60 X  7,00 Metro Expansion",57524.50,
ME068,"0,60 X  8,00 Metro Expansion",63588.49,
ME069,"0,60 X  9,00 Metro Expansion",69374.32,
ME0610,"0,60 X 10,00 Metro Expansion",75160.15,
ME0612,"0,60 X 12,00 Metro Expansion",95410.55,
ME0614,"0,60 X 14,00 Metro Expansion",107900.16,
ME073,"0,70 X  3,00 Metro Expansion",42225.43,
ME074,"0,70 X  4,00 Metro Expansion",44812.36,
ME076,"0,70 X  6,00 Metro Expansion",52044.65,
ME078,"0,70 X  8,00 Metro Expansion",60695.58,
ME0710,"0,70 X 10,00 Metro Expansion",70820.78,
ME084,"0,80 X  4,00 Metro Expansion",42253.24,
ME085,"0,80 X  5,00 Metro Expansion",44562.01,
ME086,"0,80 X  6,00 Metro Expansion",45702.49,
ME087,"0,80 X  7,00 Metro Expansion",49123.92,
ME088,"0,80 X  8,00 Metro Expansion",49151.73,
ME089,"0,80 X  9,00 Metro Expansion",53685.82,
ME0810,"0,80 X 10,00 Metro Expansion",58275.54,
ME0812,"0,80 X 12,00 Metro Expansion",81502.31,
ME0814,"0,80 X 14,00 Metro Expansion",89374.38,
ME0938,"0,90 X  3,80 Metro Expansion",55354.81,
ME15,"1,00 X  5,00 Metro Expansion",44562.01,
ME16,"1,00 X  6,00 Metro Expansion",45702.49,
ME17,"1,00 X  7,00 Metro Expansion",52517.53,
ME18,"1,00 X  8,00 Metro Expansion",49123.92,
ME19,"1,00 X  9,00 Metro Expansion",59610.73,
ME110,"1,00 X 10,00 Metro Expansion",60250.51,
ME111,"1,00 X 11,00 Metro Expansion",65285.30,
ME112,"1,00 X 12,00 Metro Expansion",68400.74,
ME113,"1,00 X 13,00 Metro Expansion",76634.42,
ME114,"1,00 X 14,00 Metro Expansion",82030.82,
ME116,"1,00 X 16,00 Metro Expansion",92239.47,
ME118,"1,00 X 18,00 Metro Expansion",106787.50,
ME120,"1,00 X 20,00 Metro Expansion",116439.82,
ME1256,"1,25 X  6,00 Metro Expansion",44422.93,
ME1257,"1,25 X  7,00 Metro Expansion",45980.65,
ME1258,"1,25 X  8,00 Metro Expansion",47760.91,
ME1259,"1,25 X  9,00 Metro Expansion",52211.55,
ME12510,"1,25 X 10,00 Metro Expansion",56662.19,
ME12512,"1,25 X 12,00 Metro Expansion",66231.06,
ME12514,"1,25 X 14,00 Metro Expansion",74492.55,
ME12516,"1,25 X 16,00 Metro Expansion",85535.70,
ME12518,"1,25 X 18,00 Metro Expansion",96578.85,
ME12520,"1,25 X 20,00 Metro Expansion",106231.17,
ME158,"1,50 X  8,00 Metro Expansion",48873.57,
ME159,"1,50 X  9,00 Metro Expansion",53324.21,
