LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A093,Seguro boton bocina camion y camioneta Dodge.,1317.12,
A094,Registro Patin Freno inferior trasero Dodge 1500.,21732.48,
A095,Embrague Bedford. Chevrolet.,12951.68,
A096,Seguro de palier Fiat 600.,1008.02,
A097,Optica Ford Falcon.,9000.32,
A098,Embrague Valiant y Dodge Polara.,10295.49,
A099,Resorte de boton bocina camion y camioneta Dodge.,5092.80,
A100,Palanca de cambio Renault 4.,16823.56,
A101,Valvula Ford Taunus L -GXL-GT Motor 2000-2300 desde 1974. ref. original 74BR6513C.,39733.12,
A102,Palanca de cambio Renault 6.,17575.57,
A103,Embrague universal mediano.,16661.57,
A104,Embrague universal corto.,12073.60,
A105,Embrague Renault Gordini.,9395.46,
A106,Pedal Embrague Ika. Tornado y camionetas mod.viejo,11744.32,
A107,Patin Freno trasero Pik-Up Dodge.,10536.96,
A108,Patin Freno inf. Fiat 1500-1600. Trasero Fiat 125.,10536.96,
A109,Patin Freno inf. Peugeot tras. todos. Delant. s/ freno disco. Patin freno tras. Dodge 1500.,10317.44,
A110,Resorte abraza campana y evita ruido IKA.,36769.60,
A111,Valvula Renault 12-1289cc. R 6 -1118cc desde 1970. R 4 1050cc. Ref. orig. 77-00599770,15567.01,
A112,Palanca de cambia Fiat 600 - 750- 800.,7244.16,
A113,Palanca de cambio Fiat 128.,6292.12,
A114,Selectora Caja de Cambios Chevrolet,1404.85,
A115,Patin Freno inf. tras. y del. Fiat 600- 128- 750.,10756.48,
A116,Embrague Universal Largo,26496.06,
A117,Patin Freno del. y tras. Ford Falcon mod. 64/77.,13171.20,
A118,Patin Freno sup. Pik-up. Chevrolet 400 y Chevy.,13171.20,
A119,"Patin Freno sup. tras. Chevrolet 400. Falcon 9"".",13171.20,
A120,Patin Freno sup. del. y Tras. Fairlane y Valiant.,13171.20,
A121,Patin freno Falcon - Fairlane- F 100- F 600 y F350. Dodge y Chevrolet.,1536.63,
A122,Pedal de Embrague Falcon. Largo.,15146.88,
A123,Pedal Embrague Falcon. Corto.,14927.36,
A124,Valvula Fiat 600 D.E.R. 1960/77. Ref. Orig.898327.,22610.56,
A125,Valvula Fiat 1500. exterior. Ref Orig. 4025663.,33586.56,
A126,Valvula Fiat 1500. Interior. Ref Orig. 4025662.,21293.44,
A127,Registro patin Freno del. y tras. Fiat 600 - 750. Trasero fiat 128 automatico.,11415.04,
A128,Bomba de nafta Chevrolet.,5092.86,
A129,Pedal de Embrague Pik-up Chevrolet. Largo.,16683.52,
A130,Patin Freno superior Rastrojero.,13149.25,
A131,Patin freno corto tras. inf. Rastrojero. Mod.nuevo,8539.33,
A132,Patin freno delantero Rastrojero. modelo 73/80,22915.86,
A133,Pedalera de Embrague Rastrojero.,8802.75,
A134,Res. Rectangular evita ruidos Freno mano.Universal,8561.28,
A135,Reforma cilindro de Freno 3/4.,4159.27,
A136,Patin freno sup. del. Ford 500 -600. Sup. tras 350,14268.80,
A137,Soporte lateral de motor Fiat 1500.,29415.68,
A138,Valvula Renault 6 y R 12 Break  modelo 75/80. Ref. Orig. 7702056065,15567.01,
A139,Palanca de cambio inferior Fiat 600- 750- 800. perno Anclaje M. Benz 911-312-3500,3648.94,
A140,Palanca de cambio superior Fiat 600- 750- 800.,7312.58,
A141,Patin Freno autorregulable Ford y Chevrolet.,10317.44,
A142,Patin Freno delant. Ford 600 l964/70. Delant. Sup Chevroñet 4000-6000-6400-6600,23269.12,
