Codigo,Nombre,Direccion
109,Ruta Sur 4302-1143,Salom 667
110,Singer 0810-222-1888,Patagones 2954
111,Gonzalez 4922-8510,Gregorio Pomar 4259
112,Encargo 4911-0587,Cachi 477
113,Expreso BH 4918-4980,Santa Catarina 2151
114,Imperial (MENDEZ)- NO C/R********,Castañon 3685
115,Union de Juan y Jose Parente (chubut) ,L. De La Torre 3945
116,Maipu (nave 3 Pta 60 /61),Pergamino 3700 (Estacion De Cargas)
117,Pedrito 4631-2335,Pergamino 3751 Deposito 58/60 
118,Juarez hnos 4566-2799,A.Margarino Cervantes3951
119,Mitre Transporte,AV.FERNANDEZ DE LA CRUZ 2340 
120,FGH Sr M.Freccia Galpon 5 al 7,Est.Palermo.J.B.Justo y Paragu
121,Ullua,Uspallata 2653
122,Almafuerte  4918-6278,Charrua 3520
123,Transcordillera 4941-0412,Monasterio 181
124,Turser 4787-7145/7305,Av Del Trabajo 7099
125,Fransportar SRL 4713-0480,Iturraspe 709
126,Platamar  4302-7296,Av.Pinedo 50 Estac.Sola Pta 16/19
127,Premat 4919-1158,Rabanal 2630
128,Villanova 4919-1158 (NO CONTRARREMBOLSO),Rabanal 2630
129,Almafuerte 4918-6278 (Parana E.Rios),Charrua 3520 (Alt. Rocca 2000)
130,De Monte  Modulo 29/31 Nave B)**,Pergamino 3751 (CTC) 
131,Condor La Estrella,Estacion Retiro
132,T.A.S TE 4919-9733 // 4918-0402,RABANAL (EX ROCA) 3159
133,Alasia (Mar-sol Mar ) 4943-7309,Pedro Chutro 2451
134,Cuyo Transporte 4657-6425,Achabal 540
135,Jose Maria TE:4301-2560,"Pergamino 3751 (CTC) NAVE ""B"" 43"
136,Snaider 4600 7464 / 7465,Pergamino 3751 (CTC) Nave A Pta 25
137,Sarita  TE:4581-6072,Maturin 2854
138,El Porvenir Santafesino 4919-3330,Erezcano 2914
139,Colectivo,.
140,Sagipak 4301-3096,Av. Velez Sarfield 701 Galpon4
141,Sica   TE:4912-2164-4911-8552,P. Baliñas 4060
142,Hermes Transporte 4683-0110,Corvalan 1534
143,Lopez Sabando TE:4918-7016,Ferre 2117/19
144,El Pampero 2052-3270/4304-1714,Amancio ALCORTA 1955
145,Pampa/ El Jesuita  4919-4035,Beron De Astrada 2867
146,Autocarga SA 4911-5811,Iguazu 637
147,NO EXISTE MAS T.C.B,Almafuerte 45
148,Gustavo 4912-1703,Pedro Baliña 3975
149,Fradaos TE 4180-0443,Julio Troxquer 3220
150,La Sevillanita 3754-8800,Pergamino 3751 Nave A Puerta 17
151,Kino TE 4941-3259,Pichincha 1550
152,San Carlos   4919-0291,Beron De Astrada 2712 
153,Vaz-Car,Grito de Asencio 3759
154,Rollie y Brown 4302-5145,Sto Domingo 2277
155,Mar del Sol SRL TE:4918-7587,Ferre 2552
156,Devechi (No Contrarrembolso),Pedro Chutro 2451
157,El Auntual 4942-9752,Montesquiu 487
158,Auntual,Montesquiu 487
159,Punta Alta 4922-0644,"Pergamino 3750 (CTC) Sedtor ""C"" 69/70"
160,Cargas Formoseñas 4942-3061,Manuel Garcia 466
161,Tatuado TE:4302-6922,Suarez 2590
162,Teirtentre (ex Sudatlantico) Sr Carente,Rio Cuarto 4552 Sr Carente
163,Salma SRL 4683-3511,Pedro Montes Carvallo 1651 (E Peron 4500
164,Trans-Norte SA 4919-7814,Mon 3538
165,La Union Santafesina,Armenia 1728
166,De La Vega  4302-3371,Luna 1299 (atras Cancha De Barracas Cent
167,Monteverde,Mirella 2770
168,Salta 4911-6333,Grito de Ascencio 3759
169,Nor-Sur TE:4302-2992/2993,Rio Limay 1454/76
170,Gonzalez (Salta) 4601-4601,Zuviria 6571(y Piedrabuena) Lugano
171,Bisonte TE:4912-0261,Pergamino 3750 (CTC) Nave 2 Nº 75/76
172,Lan Carg SRL 4584-8270,Trelles y Agñasco Gpn 1 Pta 10
173,Lo Bruno,Murgiondo 3317
174,Marmisolle 4911-2850 4912-5590,Famatina 3305
175,El Gaucho,Pedro Chutro 2451
176,Alberti 4942-2749,Pedro Chutro 2451
177,Vidal TE:4912-5007/11,Traful 3768
178,Diagonal SRL te: 4301-0053,Est. Sola Galpon 1 Pta 5
179,Mar del Sol S.A 4919-2389,Ferre 2552
180,Ruiz TE 4911-5663,Ancaste 3109
181,Doña Ramona  2206 2603 /2206 2604,"Pergamino 3750 Nave ""B"" 47 (CTC)"
182,Las Cañas TE: 4308-2908,Los Patos 2508
183,Horizonte 4918-0377,Beron de Astrada 2712
184,Barberini,Famatina 3305
185,Campana 4301-8085,Osvaldo Cruz 2030
186,Losa SRL TE:4568-9525,Chivilcoy 1453
187,Huemul TE: 4911-5514,Pedro Baliña 4060
188,Garcia 4912-2164,Estacion Sola Galpon 5 pta 29 / 32
189,Transser TE:4911-6165,Zavaleta 431
190,Tim-Car (No C/R) Lu A Jue,Avda Cruz 2340 Y C. Berg
191,El Rapido  4301-8085*NO CONTRARREMBOLSO),Pergamino 3750 (CTC)
192,Pomar 4912-0082,Ancaste 3791
193,El Porvenir (CERRO* 4911-2693,Las Casas 3445 TE:4911-2693
194,El Valle ,Plataforma 64 / 65 Retiro
195,Expreso Mario,Jose C. Paz 2921
196,Valle de Lerma ,PEDRO CHUTRO 2457
197,Larraz  4301-0504,Santa Catalina 2151
198,San Martin Aero Cargas 4752-0572,Calle 121 Nº 2632
199,Haristoy (NO C/REEMB) 15-6167-2738,Santo Domingo 3930
200,El Pibe,Famatima 3205 o 3305
201,Espinosa TE:4912-7396,E. Bonorino 3561
202,Los Ases TE:4941-8370,Pedro Chutro 2735
203,"Hernando (cerró, No Esta Mas)",Pedro Baliña 4060
204,Stelo 4911-8552,P. L. Baliña 4060
205,Carreteros,Los Patos 2548
206,Chiche Sedano TE:4925-8512,Miraflores 2085
207,Jouve 4943-7309,Pedro Chutro 2451
208,Bartomeo (Con Fact Afuera) 4942-5666****,Monasterio 269
209,Basilio 4912-3123,Ancaste 3356
210,De Medio Hnos Soc Col 4304-5789,A. Alcorta y Anchoriz
211,Tres T (NO EXISTE),Monasterio 181
212,Mario TE: 4911-6333,Grito de Ascencio 3759
213,Pigue 4912-0094 / 0096,Traful 3412
214,Ramon Rodriguez 4918-7789,Pedernera 2815
215,El Sol (Azul) 4943-5501,Los Patos 2751
216,Ciarlantini 4923-2988,Inclan 3527
217,Expreso Centro (NO C/ Reem) 4918-1080,Ferre 2371
218,Mathias,Santo Domingo 4241
219,Envia Expres,Coronel Roca 2360
220,Chevalier-  Dir:Cabildo 4912 /4314-5555,Est.Retiro o Lujan 2695-Barrca
221,Meli Pal 4305-8671,Amancio Alcorta 1955
222,Morabito S.A 4942-6686 NO USAR,Los Patos 2557
223,La Union Rionegrina,Montesquiu 487
224,Lujan,Beazley 3519
225,Gaspari y Marinuchi,Catulo Castillo 2400
226,De Andrea NO CONTRA REEMBOLSO,Culpina 3518
227,Ruben,P.Chutro 2457
228,Cejas 4919-4801,Culpina 3518
229,Expreso Garcia. 4301-4430 ,Pinedo 50
230,Mar del Sol TE: 4919-2389,Ferre 2552
231,Trans Paye,Pedro Chutro 2451
232,Henry 4911-2083,Grito de Ascencio 3759
233,Parolina  SA 4632-3411,Trelles 638
234,Ala 4943-7309,PEDRO CHUTRO  2451/53
235,Centro Sur,Pepiri 1326
236,El Serrano 4302-3058,Suarez 2761
237,Centenario 4303-7006,Alvar Nuñez 90
238,Williams,Uspallata 2663
239,Ñandubay SRL 4308-1782,Pergamino 3750 (CTC) NAVE 2 C 64 /65
240,Miramar 4302-1331,Estacion Sola Suarez  Y Pinedo
241,Balcarce 4301-2371,Alvar Nuñez 234
242,Villense 4943-5717,Luna 664
243,Cotram 4919-8730/,Agustin de Vedia 3391
244,B.H SRL 4943-5717,Luna 696
245,Alvano (Cuyo Cargas S.A) 4302-7985,Santo Domingo 3400(V.Sarfi1600
246,Ruta 6 4304-5789,Amancio Alcorta 1800
247,El Tajamar 4568-9822,Concordia 1515
248,El Buen Aire,Iriarte 2763
249,Centauro  4919-7519,Pergamino 3552
250,Federal 4912-0082,Ancaste 3791
251,Cargo ,Rio Cuarto 4085
252,Simionato 4484-9253  4441-2448,Gral Madariaga  3531
253,Trans Dan 4302-7367,Lamadrid 1850
254,Rinaldi y Rico 4911-3616,Amancio Alcorta 3041
255,Zapata,Luna 666
256,El Nocturno 4866-4035 /4963-8717,Diaz Velez 3302 Galpon 4 Esq Gallo
257,"Sud Atlantico (NO MANDAR, Cambiar X 162)",Rafaela 4710
258,Ciarlantini 4923-2988,Inclan 3527
259,Rocinante SRL * 4303-3130 / 4302-0830,Australia 2758. Barracas
260,El Andariego 4942-6684,Uspallata 2638
261,Alvear 4912-0082,Ancaste 3791
262,El Pampa 4912-0082,Ancaste 3791
263,Nueva Union,Av. Sanchez de Loria 2149
264,Imaz SRL 4919-0267 4919-0269,Pergamino 3830
265,Ferrero SRL 918--8528,Av. Cnel Roca 2775/77
266,El Sol Del Neuquen 925--0288,Av. Cnel Roca 2360
267,Ferrero (Sur),Av. Roca 2775
268,Carlitos (PCIA Bs As) 4308-4624,Montesquiu 557
269,Villa Dolores 4942-9466,Montesquieu 487
270,Camara de Comercio 4919-0291,Berón de Astrada 2791
271,Albo TE: 4302-4114,ESTACION SOLA PINEDO 50 GALPON3 P 1Y 2
272,Ovalle,QUINQUELA MARTIN 2310 PTA 2
273,Fiorotto 4956-2397,Av Independencia 2923
274,Vera,Grito de Ascencio 3759
275,Punta Alta,"Pergamino 3750 (CTC) Sedtor ""C"" 69/70"
276,De Kelice,Uspallata 2758
277,La Estrella 4600 7498,Pergamino 3751 PUERTA B 50 (CTC)
278,La Antartida 15-53064896,Rio Cuarto 4491
279,Los Rafaelinos 4911-3669,Labarden 125
280,Laferpa 4301-1562,Mirave 2720/2728
281,Cañada de Gomez 4362-2572,Av.Juan Bautista De La Salle 1926 
282,Ponce 5294-4555,Mendez 2433 (Bonorino/Rivera Indarte)
283,Gubell 4911-7622,Jose C. Paz 2969
284,Ortiz 4912-6777,Est. Sola
285,Moyano -4919-7793 (vuelta Redonda),Agustin de Vedia 3391
286,Saunig,Mom 3538
287,Maral  TE: 4918-0014/9164,Castañon 3561/75 esq. Ferre
288,Cotil-Carg S.A (C/REEMB Con Cheques),Varela 3687
289,Chilecito 4919-7269,RABANAL 2662
290,Di Pascuali 4911-9065,Elias 1071 y Traful
291,Rabbione 4942-4456,Monasterio 269
292,Morabito SRL 470-7624 4942-6686/4942-262,Los Patos 2577
293,Santa Ana 4911-1752,Cotajerena 2934
294,T.D.H SRL  ,Av Remedios 5424 Y Larrazabal- Mataderos
295,Caballero 4942-4801,Colonia 371
296,Santa Rosa S.A 4600 7475,Pergamino 3751 Galpones 109/110 Nave 4
297,Disser SRL 4300-4945,Irala 345
298,Tas Car Srl TE: 4919-9733,Int. Rabanal 3159 (EX  Cnel Roca )
299,Solidario y Osvaldo Martin Hns,Bacacay 2851
300,Pilberg TE 249-1097 4942-2903,Montesquiu 464
301,Copar   Te 4919-2378 4918-7424,Ferre 3254
302,El Chaqueño TE:4919-0971 4918-1924,Ferre 2366
303,Bin Hnos (Central De Cargas),Pergamino 3751. Nave 2 Modulo 48 
304,Jacaranda 4911-1752,CTC Pergamino 3750
305,Fer S.R.L 4918-0577,O'Gorman 3252
306,El Dorado 4631-0229 / 4633-1023,Av Cruz 1930 Y Perito Moreno
307,Sol SRL 4918-0577,O'Gorman 3252
308,Alem SRL 4918-2005,Ferre 2877
309,Donelli Hnos (NUEVO TRANSPORTE),BALIÑA 4060
310,Traful 4811-2850,Famatima 3305
311,Villa Angela 4911-6745 4911-6562,Ancaste 3111
312,El Lider 4308-4624,Uspallata 2653
313,Clorinda TE:4912-0082 4918-2229,Castañon 2858
314,Camilletti,Velez Sarfield y Suarez
