Codigo,Nombre,Direccion
479,ECSA,Uspallata 2738
480,San Enrique TE:4301-8750,Lamadrid 1850
481,Cristaldo,Roca 2846-
482,Neter,Brandsen 2737
483,Carlitos Transporte ( E Rios) NO C/REEM,EST. SOLA GALPON 4 PTA 3 Y 4 SALIENDO
484,Prada (paga En Saenz 676 4911-9972,Villarino 2352 Paralela Iriarte Al Rio
485,El Jesuita/pampa SRL 4919-4035*****,BERON DE ASTRADA 2814
486,Alvear Sur,Av Remedios de Escalada San Martín 3630
487,Arkobelys SRL,Anchoris 368 E/caseros Y Alcorta
488,Distribuidora Central,A. de Vedia 3825
489,Nuevo Valle,Pergamino 3700 (CTC) Modulo 41 - Nave B
490,Mosto Bogdan,Portela 3447
491,Jose,Ferre 2283
492,Piloni (ELPIBO SA)  15-6260-8561,Pergamino 3751 CTC Nave B 43
493,"San Jose ""Rosario"" 4922-1671***",Las Casas 3553
494,Aguilar Binaghi  4919-7181,Fernandez Francisco De La Cruz 2576 
495,Lider (Solo Formosa Con Fact Afuera),Agustin De Vedia 3050
496,Andina Hnos ,Suarez 2590
497,Fransportar SRL,Diag 101 Nº 709
498,Comisionista,.
499,Chos Malal,BERON DE ASTRADA 2814
500,Baires Logistica TE4919-0991/6148,Portela  3479
501,Vesprini (NO C/REEMBOLSO),Gral Madariaga 3531 (RUTA 3 AL 5100)
502,Patagonica Express,Est.Sola Galpon 1 a 4
503,El Cholo TE 4635-4864,Larrazabal 1742
504,Rodriguez -MZA,Erescano 3880-Av Roca al 1800
505,Baicco CEL :02983 15-647606,Culpina 3518
506,Transportar-4912-8019-,0223-4722532-Mar del Plata
507,Heit,San Pedrito 3442/44
508,El Resero 4919-0291,Beron De Astrada 2791
509,Carnevalli,Suarez 2761/69
510,Mercurio,
511,Scor-Dina S.A,Amancio Alcorta 3473
512,O.C.A,.
513,Santa Rita (Sur),Castañon 3556
514,NOOOOO TRES LOMAS**** MANDAR MAS,Beron De Estrada 2836
515,El Lucero,Grito de Asencio 3759
516,Montenegro,Centenario 37
517,Lencina (Los Toldos),Lucio Correa Morales 2677 (Varela Y Via)
518,Once de Marzo,Pedro Chutro 2736
519,Las Flores TE 4301-1523,Francisco Fernandez De La Cruz 2340
520,Transporte Del Sur (ex Mingo),RIO CUARTO 3912
521,Perez Hnos,Melgar 54 (Altura Sto Domingo 2650)
522,Cadiher,Uspallata 2638
523,Soumar,Luzuriaga 834
524,Lin - Ros (Ratti Raul)***,Iguazu 637
525,Lb,Santa Elena 946/948
526,Inca 4919-5572,Castañon 3651
527,Malvicino,Echeandia 5651(Larrazabal 2800
528,Alonso (No C/Reemb) 4911-2083,Lucio Correa Morales 2627 Y Varela
529,Tito Hijo TE:4919-9474,Ferre 2656
530,Tandil NO MANDAR!!! TE:4304-3092,Obrien 1235
531,Don Gregorio,Mirave 3323 (Estadio Huracan)
532,Versat S.A,Tabare 3136
533,Nuevo Valle  2206 2630,Pergamino Nº 3751(CTC) ave B Pta 41
534,Billetta 49198750 / 49198758,Troxler 3200 Paralela A Ferre 3200
535,Enco Pais,.
536,T:A:S (anteriror Pringles),Rabanal 3159 TE: 4928-0428
537,Ridis,Grito de Ascencio 3759
538,Tauro,Pedro Chutro 2451
539,El Sol Mendocino,Ferre 2135
540,Tania 4912-0305,Magaldi 1344
541,Trucks 4303-2498,Av.Pinedo50-Est Solá-Galpón1-pta21/22/23
542,MZ,Uspallata 2674
543,Alasia (CHACO),Luna 358
544,Logitrck-4912-3113,Beron De Astrada 2740
545,Jumbo,Pergamino 3750 (CTC) 
546,Tia SA,Gral Juan Jose Valle 2933
547,Ridissi,VARELA 3652
548,Tres Hermanos (NO C/R),Culpina 3518
549,Centro** (NO CONTRARREEMBOLSO),Ferre 2373
550,Scordina (FALTA TE),A. Alcorta 3473
551,Via 2,Teniente Rabanal 2756
552,Lojo 4301-0837,Iriarte 2767
553,Delimar,Pedro Chutro 2735
554,Dali-Mar,Pedro Chutro 2735
555,Sabella Hector - NO SE HACE REP,SAN PEDRITO 3450 -de c/reemb
556,J.C,Mariano Acosta 1930 Avellaneda
557,Plusmar Cargas,Daniel Cerri 1348
558,Expreso Sisa Gral Villegas 03368-422036,Bonavena 1268
559,Deposito Tres Hermanos,Culpina 3518
560,Sanchez Hnos (a en lugar 508),Mirave 3385
561,Pangare,Ferre 2656/58
562,Ara,Av. Saenz Oeste 1469
563,Rodriguez Jorge,PORTELLA 3470
564,Caminos del Norte,Mon 3538 TE:4919-6831
565,Privitera SRL 4919-4986 / 6293,Rabanal 2354
566,Bogdan,Pergamino 3751 CTC Nave B 44
567,Logistica Y Distribuciones,Beazley 3525
568,Jesus Maria  22062644    Nave 3,"Pergamino 3750 (CTC) Sector ""C"" 56 Y 57"
569,Carosio (No Contrarrembolso),Jose Cortejarena 3067
570,Sol Expreso (NO CONTRAREMBOLSO),Zavaleta 611/19
571,Comicar SRL,Uspallata 2663
572,Sol Cuyano,Ferre 2135
573,Regino TE:0227-215400040,Trole 163
574,Saladillo (Pedir TE),Mirave 3323
575,Logistica Di Fabio 4918-3232,San Pedrito 3476
576,Colectivo TATA,Terminal Retiro
577,Tradelog S.a.u,Pergaminio 3751 Nave C 71/75
578,El Fortin 4918-7016,Ferre 2117 
579,Sissa 4912-9981 *** No Mandar C/R,San Pedrito 3570
580,Arana,Varela 396 Esquina Corrales
581,Traffic Pack,Pepiri 633
582,Muñoz,Aristobulo Del Valle 1139
583,Baiocco,Culpina 3518
584,Expreso Argentino,Las Palmas 2871 Y P. Moreno- Pompeya
585,DRENNY Sa,Av Corea 1774
586,Iros Tour . ,Ancaste 3060
587,Menuet 4301-1407 - 4302-0850,Iriarte 2775
588,Gutierrez,JOSE C. PAZ 2969
589,Todo Carga,.
590,Alonso Gaston Te:4919-4801,CULPINA 3518
591,Renca,Montiel 5951
592,Cotta 4911-1944,Santo Domingo 4030
593,Sneider E Iriarte,Traful 3412
594,LOGISTICA RIME (EX EMIR),Lavarden 250
595,Alonso Hnos**(Bahia Blanca),AV.Pinedo  850  Galpon 1 Y2 Pta 10 Y 11
596,Rodriguez Wlater,Culpina 3518
597,Valle Grande,San Pedrito 3442 Esq.Int.Rabamal
598,Carolo 4303-4055,Rio Cuarto 2736
599,Andes Mar (Retiran A Domicilio),Terminal Retiro
600,Tiasa,ALVAR NUÑEZ 90
601,T V Transportes,Garay 660
602,Sur   SRL,CARLOS  M RAMIREZ  2204-AL  ROCA 2200
603,Alianza Javari SRL,Gral  J J Valle  2939
604,Don Alfredo (entre Suarez Y Australia),Pinedo 50 Galpon 3 Pta 35 
605,Mar Sol Mar (NO MANDAR C/REEMB),Pedro Chutro 2451
606,El Norte De Casilda,Ancaste 3060
607,Carolo 4303-4055,Rio Cuarto 2736
608,El Trebol (CBA CAMPILLO) 4919-7519,PERGAMINO 3552
609,LISTA 129  (12/10/2005),BONIFICACION:     %
610,Scropanich ****NO HACE CONTRAREEEMBOLSO,Fernandez De La Cruz 2340
611,Comisiones Pesa (NO MANDAR NUNCA MAS),RIO CUARTO 2738
612,Pina,TABARE 1240
613,Fer - Nic,Uspallata 2638
614,NUEVO HORIZONTE 4657-9992,Mosconi 273 Y Gral Paz
615,Don Carmelo,Castañon 2858 ( Y Cruz)
616,El Campanense,Monasterio 271
617,Linea Sur 4611-1783,"Pergamino 1939 (Alt. Pto, Moreno 3300"
618,Del Norte Integral,Grito De Ascencio 3640
620,NT Servicios Y Cargas,Veracruz 2875
621,Lo Bruno S.A,Prudencio Murgiondo 3317
622,Tuñon Y Mossotto,San Pedrito 3570
623,Cargas Del Norte,Monasterio 181
624,Union (carhue / Guamini) 4919-4801,Culpina 3518
625,El Suarence,H.Primo 3352
626,Interpack (Distrilog SA),Chiclana 3436
627,Melhen SRL(NO CONTRA REEMBOLSO)   ,Monteagudo 477
628,Ferrocargas Del Sur 4301-0386,Luna 1299 Entre Las Vias Y Olavarria
629,Gonzalo,Pedro Valiña 4060
630,Miguel,Pedro Baliñas 4060 Esq.Pepiri
631,Ferrero (Bari Bahia),Estacion Sola Galpon 5 Puerta 14
632,Guarani (NO ESTA LA DIRECCION),Beron De Astrada 2861 (ACA NO ESTA MAS)
633,Logística  V W,Beazley 3523/27
634,Angelani,Zalarrayan 5982
635,Iris,Pedro Baliña 4060
636,Del Sur,Pedro Baliña 4060
637,Bolatti 4911-0800,PEPIRI 1535
638,11 De Marzo,Pedro Chutro 2735
639,DADIMAR,PEDRO CHUTRO 2735
640,Avellaneda,Marmol 824
641,Vitale,Est.sola Puerta 11 Galpon 5 
642,Expreso El Rapido,Marmol 854
643,Expreso Antonela,Jose Marmol 824
644,Receptoria Andreani Bigoye Express,Corvalan 1534 Esq.Directorio
645,El Capitan,Pedro Baliña 4060
646,Expreso Lancioni 3985-6738,Pergamino 3750 - CTC
647,ECA,Baldenegro 2984
648,Trans Full,Troxler 3259
649,Nuevo Transporte SRL-Bell-Ville  ,Pergamino  3552
650,Trafipack Srl,Pepiri 633
651,Expreso Huangelen,Humberto 1 3352 Boedo
652,Pulki Pack 4912-1671,LINCH 3555
653,LA VELOZ DEL NORTE,TERMINAL RUTA 197
654,"Fernandez Guillermo ""El Gallego"" F/TEL",Los Patos 2751
655,Cobra,Colonia 371 - Parque Patricios
656,Distribucuin Y Logistica,Rabanal 2768
657,Argentina Logistica,Castañon 3665
658,EG 2003-5259,Gorriti 650 Avellaneda
659,Puerto Nuevo SRL,Av Ramon Castillo (alt Al 800) Y Calle 6
660,TECRE  NO CONTRARREMBOLSO (EX COFA),Pte.Fragata Sarmiento  854  4988-0162
661,GOMEZ  4912-2660 / 4911-8670,MONTEAGUDO 459
662,LEANDRO,MONTESQUIU 464 
663,V W Logistica 4911-6009,Bealey 3523/7
664,Oro Blanco 4918-2649,Rivera Indarte 2749
665,Trans City 4912-0423,Paso 1460 ( Al T Diaz Velez 1400)
666,Rodriguez,Pedro Baliña 4060
667,Brignolo Hnos 4754-3187,Pte.Peron 5545. San Martin
668,Calcabrini 4911-5911,Ancaste 3660
669,ELPIBO SA 4301-4727,PERDRIEL 1179/81
670,Leal SRL (NO HACE C/REEMBOLSO),Iguazu 719
671,Alarcon 4602-0041,Oliden 3145
672,Balverde 4301-0504,CTC B 47 
673,Andina  (SAN LUIS),Ferre 2520
674,Expreso Santulli CTC,"Pergamino 3750, Nave A 4."
675,Pintor Hnos 03329-424395,Av.Pinedo  850 Galpon 3 Pta 3 Y4 E.Sola
676,Juancito 4942-4801,Pedro Chutro 2451
677,Turibell,Rincon 650
678,Via Bariloche Terminal Picun Leufu,Terminal Pablo Nogues Ruta 197 
679,Alimar 4924-5160,Muñiz 2080
680,Via Bariloche  4663-8668/8899,Ruta 197
681,Cota ,Castañon 3685
682,Guillermina 4301-1407,Iriarte 2775
683,Expreso Formosa 4308-3415/4033,Av. A. Alcorta 2773
684,SIRO 4941-3792,LUNA 360
685,Don Vicente 4301-3096 / 4301-9735*,Velez Sarfield 701
686,Marcos Paz 4912-0142,Grito De Ascencio 3231
687,La Ruta S.A 4694-5340/1000,Rosas Juan Manuel 7002
688,Encom. Carlos Casares 4912-6358,Monteagudo 493
689,"Mac Blan ""NO EXISTE MAS"" 4301-1407",Iriarte 2775
690,Vaque 4943-5665,Constitucion 2318
691,Logistica Y Servicios TE: 4865-7291,Sarmiento 3484
692,Bari Bahia 4635-2111,Lasalle 1926
693,Chivilcoy Expreso 4918-1041,Ferrer 2016
694,Biletta**4942-4801/4919-8750,JULIO TROXLER 3259 TE 4308-0255
695,VIA AZUL 4922-8510,Gregorio Pomar 4259
696,Alex 4943-2905/4942-9486,Pedro Chutro 2446
697,FLECHA BUS,TREMINAL RUTA 197
698,Sol Mar SRL 4918-0608/0154,Carlos Berg 2794
699,BALVERDE 4301-0504,CTC B 47 
700,Ruta 11 4308-4624,Uspallata 2653
701,Kember SR 0385-154065567,Villarino 2375 Bajo Estacion Yrigoyen
702,Balmar S.A 4918-6040,Tabare 3136
703,OSCAR BOVA PTE DIN 409,GUATAQUIL 1021
704,La Paz (trans. Duval) 4919-0291,Beron De Astrada 2770
705,Nor Patagonico 4912-3123,PEPIRI 1535
706,Munuet 4301-1407/302-0850,Iriarte 2775
707,GUILLERMINA 4301-1407,IRIARTE 2775
708,Ara-vera SRL 4919-0033 ,San Pedrito 3590
709,Sica 4912-2164,Pedro Baliña 4060
710,Expreso Bolivar  4911-9070,Ferre 2035
711,Expreso Romar 4919-9524,Rabanal 2876
712,JET- Richter 1169912763,CTC Nave C 75
713,Santulli CTC ,"Pergamino 3750, Nave A 4."
714,Don Ortiz 4919-1158,Rabanal 2630
715,Don Antonio (JESUS MARIA) 4911-5911,ANCASTE 3650
716,Luisito,Mirave 3323 (bajo Cancha Huracan)
717,Furlan 4301-3994,Pergamino 3751 Nave 4 Mol. 85  (CTC) 
718,Arias 5247-7256 / 7257,AVDA CNEL ROCA 6451
719,Carena 4942-2196,Varela 3621
720,Don Antonio 4912-2164,Pedro Baliña 4060
721,Loumat 4919-8608 /6697 /1742,Varela 3687
722,Castro 4301-0818,Alvar Nuñez 250
723,Sanguinetti,Famatima 3305
724,Bodgan 4301-4727,Rio Cuarto 1418 Y Av Patricios
725,Quebracho (lun /vie De 13 A 17),Uspallata 2653
726,Santa Rita (Cordoba) 4919-0980,Ferre 2145
727,Chavez Hnos ,"Pergamino 3750 Nave ""B 51"" (CTC)"
728,Gallo 4301-7786,Estacion Sola Galpon 3 Puerta 7
729,Yo-Max No Utilizar Este Nuemro,Pepiri 633
730,RUTA 5 4942-6684,USPALLATA 2638
731,Expeso Rodrigo,Carlos Mario Ramirez 2176
732,El Gallego FALTA TELEFONO,Los Patos 2751
733,Filardi SRL***NO MANDAR COBRA Y NO PAGA,Montesquiu 464
734,Nobal 4911-5956,Bonavena Oscar 1255
735,Caracol 4921-0605,Muñiz 2060 (Entre Rondeau Y Caseros)
736,Heredia NO EXISTE MAS,Remedios 5424
737,"EXPRESO SAN JOSE ""RETIRO""",
738,Piedra Movediza (NO USAR)**,Pinedo 50 E Sola Galp.4 Pta 5/6 SALIENDO
739,La Vanguardia  4304-3096 / 9731,Estacion Bs As Galpon 2 (suarez Y V. Sar
740,MORRISON 4919-9559 /6884,Monseñor Bufano 1621 (Cno Cintura)
741,BARADERO (claudio 03329-15691055),Beron De Astrada 2712
742,Don Max // Yovan 4919-5797,O´¨gorman 3252
743,Diemar 4919-6284,Ferre 1682 (y Elezcano)
744,El Rayo C/reemb C/cheque 4919-9000,Beron De Astrada 2730
745,Lago Buenos Aires,Ferre 2373
746,Antonella /no Existe Ver El Sol (215),PEDRO CHUTRO 2735
747,Nuevo Transporte (S. Miguel Del Monte),Corvalan 1534
748,Rutrans SRL 4308-4272,Monasterio 191
749,Trans Union-Paolini 4942-6743 /3527,P.Chutro 2457
750,TLC Tranportes Srl 4918-3999,BERON DE ASTRADA 2576
751,Marchetto 4942-9903,J.C.Paz 3450
752,Dagol  4302-7182,Villarino 2352 Paralela A Iriarte Al Rio
753,Ruta Misionera 4301-2560,Lujan 2159
754,Expreso Rivadavia (LOS JUANES),Carlos Maria Ramirez 1647
755,Transportelli 4919-2229,Av.Rabanal 2764
756,Guillermo Morei 4919-4801,Culpina 3518 Esq. Rabanal
757,Caselli Marcelo,Mom 3574 Esq. Rabanal
758,Americano ,Permegano 3751 (CTC) (C70 Espacio Kelli)
759,Belgrano 4918-3354,Ferre 2135
760,Andreani Suc San Martin ENCOMIENDAS,Av 101 (Ruta 8) Nº 1637
761,MOREI 4919-4801,Culpina 3518/20
762,Astuti 4911-5911,Ancaste 3650
763,Lucel 4918-7304,Ferre 2775
764,Nuevo Transporte SRL 4912-2164,Pedro Baliña 4060
765,TRANSPORTELLI 4919-2229,AV.INT.RABANAL 2764
766,Del Oeste (LINIERS),
767,ARLEQUIN  4581-3716,MATURIN 2470
768,MAYO 4912-0094,Traful 3412
769,Gabriel 4319-6181,Crespo 3135
770,LOVATO 4301-1275 /5817,AUSTRALIA 3081
771,Transporte Pacini 4912-3885/4911-6269,Pepiri 1245/49
772,Expreso El Tuyu 4638-1925,Pedernera 3538
773,TRANS RUT 38 4911-6562/5745,Ancaste 3111
774,ALCON 4942-9903,POTOSI 1965. VALENTIN ALSINA
775,Expreso Yet (Triade SA) 4919-2035,Bernardo Castañon 3458
776,Miguelito 4919-1955,San Pedrito 3466
777,Estrella Federal 4912-5590,Famatima 3305 (8 A 16)
778,Parmigiani 4309-6200,Pienovi Nª 104 (V. SARFIELD)
779,Transsix 4919-1158,Av. Rabanal 2630
780,El Chaguito 4911-5956,Av.Bonavena 1255
781,EL BOLSON 4484-1614,INCLAN 3169 ALTURA MONSEÑOR BUFANO
782,Trans Cargo (NO C/R),Rio Cuarto 4838
783,Andar 4302-1441/933-8933,SANTA CATALINA 2151 V. SOLDATI
784,Carretera 9 4301-6404,Av.Pinedo Esta. Sola Galpon 3 Ptas 1y2
785,BRILLARA  4308-4624,USPALLATA 2663
786,Tran Ruta 38 - El Lucero 4911-2883,Grito De Ascencio 3759
787,Logistica Entreriana  4919-8758,San Pedrito 3456  Villa Soldati
788,Cema 15-3555-6057/ 5886-3881,Cnel Benito Meana 1136 (Pedriel/Autralia
789,Via Cargo ,PTE.Peron 3725 Y Calle 99 1 Cuadra Ruta 
790,Tir Pentre/EG 4302-8512,Pinedo 50 Estacion Sola Galpon 5 Pta 25
791,Castelli 011-154414767,Est. Sola Galpon 5 Pta 22 / 23
792,Azul (a Cordoba) 4303-8858,Av Iriarte 2763
793,Tam 4919-4801,Culpina 3518
794,Full-Trans 4301-3096/9735,Av.Fernandez De La Cruz 2340
795,Via Rutas 4918-7261,Corrales 2223
796,Orion De Gy Z SA 4585-4447/4586-1700,Trelles 2669
797,Autotrasnporte San Juan 4308-1750,Pasco 659/71
798,El Rapido (Cap.Sarmiento) 4139-8202,Correa Morales 2677 Varela Y Culpina
799,Camionera Mendozina 4919-0293,San Pedrito 3977 - Villa Soldati
800,Amtrac Expreso 4912-3106/4911-3249,Maza 2150
801,Expreso Punta Alta 4924-7096,Av.Juan De Garay 3961
802,Henin 4431-5627,Ventana 3772
803,CERES SRL 4919-3653 /3669,Av Fernandez De La Cruz 2340
804,Breccia SRL 4919-1485/1486,San Pedrito 3540
805,Scor-dina SA 4911-1428,Amancio Alcorta 3473
806,Cia Coordinadora De Cargas 4911-6997,Av.Amancio Alcorta 3289
807,LOBOS BUS 02226-423677,MITRE 1760 Y CALLAO
808,Faccio 4911-8305,Baliña 4077
809,Logistica Entrerriana 4919-8758,San Pedrito 3456  Villa Soldati
810,Logistica Entreriana 4919-8758,San Pedrito 3456  Villa Soldati
811,ARA BERA 4918-0076,AV. San Pedrito 3590
812,Transporte Mirasso 4442-7582,Nave Del Pescado Puesto 33 Mercado Centr
813,DELPA ARGENTINA S.A. 5218-1866,RECONQUISTA 513 CUIT 30-70880395-9
814,Scor-Dina SA 4911-9514,Av.Amancio Alcorta 3473
815,ALARCON SRL 4635-9442,EUGENIO GARZON 5672
816,TRANSP LURO 4942-4801,Pergamino 3702
817,D.L Distribucion Logistica 4919-4821,Avda Rabanal 2768
818,DON MARIO,Lujan 2159
819,Transporte Sudamericanos SA,Av.Riestra 1655
820,Sudamerica Trasnporte,Estacion Sola Galpon 3 Pta 23/24/25
850,Transporte Muñoz,Méndez 2433
900,Bin Pack SA,Labarden 650
901,Cruz Del Sur,Pergamino 3751  (CTC - NAVE D)
902,Trans Sur Srl,Paraguay 1836 (esq Esnaola)
903,Expreso Ruta 5 4942-6684,Uspallata 2638
904,Expreso Tascar Srl 4919-0977,Av. Int. Rabanal 3159 
905,Armanes,Baliña 4060
906,Impala,Pergamino 3740
907,Norte Casilda,Ancaste 3060
908,Santorini,Boulogne Sur Mer 592 (Once)
909,EXPRESO PINAMAR,Av.Fernandez De La Cruz 2286
910,Expreso Velomax 4919-1171,Mom  2861
911,Nexo Logistic,Remedios 5424
912,CHECA (NO TRABAJAR MAS)***15-2344-8708,Bonavena 1377 - Pompeya
913,Expreso Demonte 5275-1960,Pergamino 3751 (CTC) Nave B Pta 31
914,Transporte Rina  SH,Monseñor Bufano 3057
915,Ben -Val Logistica,Portela 3479
916,Expreso Cardone 4919-6036,San Pedrito 3476
917,BRIO NO USAR ESTE NUMERO,
918,Expreso Tango,Montesqui 464
919,OCA San Martin,COCHABAMBA 2308
920,18 De  Mayo SRL,Pergamino 3552
921,Distribuidora Y Logistica DL,Av.Rabanal 2768
922,Expreso Mayo (salto),Paracas 295
923,Rosario Cargas,Pwergamino 3750 (CTC)
924,Hacha De Piedra,Pergamino 3750 (CTC)
925,Alfa,Pergamino 3750 (CTC)
926,MDQ Logistica Y Servicios Srl,Pinedo 50 Estacion Sola Galpon 5 Pta 15
927,Nicolas Gorgone,Av.Riestra 1655
928,Rosario Logistica,Avalos 18
929,Amanes,Baliña 4060 
930,Distrelauquen,Jose Marmol 824
931,Alcuva SA,Av.<Gral.Fernandez De La Cruz 2300
932,DE A 4 BAHIA 4919-8427 ,Jhon Cooke 3255
933,Dietrich,Ferre 2135
934,El Centinela,BERON DE ESTRADA 2575
935,El Changuito,Oscar Bonavena 1251/55
936,BUS PACK EXPRESS,RIVERA INDARTE 85
937,SAN MARTIN CARGO,AV.SAN MARTIN Y MURATURE
938,CRUCERO DEL NORTE,MURATURE Y SAN MARTIN
939,Crucero Express,Av.San Martin 700 Esq Murature
940,NUEVO EXPRESO O FLECHA BUS,
941,La Movediza,Est.Sola Pinedo 50 Galpon 3 Puerta 21
942,Andesmar Express(Fact Cta 4957 Aldar SA),Av.Pte.Juan D Peron 3764
943,LA RUTA,BERON DE ASTRADA 2575
944,Alonso (Bragado),Lucio Correa Morales 2677 (e. Culpina 
945,Melo Guillermo (8 A 16),Andres Ferreyra 3960 (av Saenz 400)
946,4H SRL,PERGAMINO 3751 (exp. Lancioni) Nave B 33
947,EL ANGEL PATAGONICO,CORVALAN  3520
948,RUTA EXPRESS,M.Chilavert 2968
949,Transnort,Rivera Indarte 3745
950,SERVI BAIRES (9 A 13),AV.Larrazabal 2562
951,Branic 4308-4624,Montesquieu 587 
952,Expreso Gonzalo Srl 4919-7519,Pergamino 3552
953,Alejandro (NO CONTRAREEMBOLSO) ,Paracas 253
954,EXPRESO EL PEREGRINO ,CHUBUT 1287 
955,TRASNPORTE OMAR,FERRE 2375
956,EXPRESO YOVAN,OGORMAN 3252
957,FORZAP,Pinedo 50 Est Sola. Galpon 4 Puerta 8-17
958,ANK TRASNPORTE (RECETORIA SAN MARTIN),AV.SAN MARTIN Y MIRATURE
959,Expreso MD,Castañon 3466
960,Expreso All Box,Pepiri 1535
961,Dep. De Daniel Miraballes LLAMAR ANTES!!,Gervasio De Posadas N° 1275
962,Expreso Picoito,Estacion Sola Pinedo 50 Galpon 4 Pta 1/2
963,EXPRESO 4H  3985-6738,PERGAMINO 3751 CTC NAV B Mod Nº 42
964,4 H EXPRESO,Pergamino 3751 (CTC) Nave B Dep Lancioni
965,Andreani Transp. Camiones,Av Pergamino 3711 // Sto Domingo 3220
966,Expreso Piro,Jose C Paz 2935
967,MD TRANSPORTE,Castañon 3464
968,Expreso Transcia,Pepiri 1355
969,Transporte HD,Castañon 3415 
970,Belio Martin,Ferre 2035
971,Libertador (PERGAMINO),CTC NAVE 3 70 B
972,Ecomiendas Carlos Casares 4912-6358,Monteagudo 493
973,Transporte Cerena 4919-9191,AV VARELA 3621
974,TRANSPORTE AVELLANEDA,RABANAL 2866
975,Credifin Express,Calle 83 Cerrito 2393
976,Patagonia Express,Luna 1299 (atras Cancha De Barracas Cent
977,Via Cargo (Florida),Blas Parera 1489
978,BUENA FE 4637-4561,PERGAMINO 1969
979,Rodriguez E Hijos ,San Pedrito 3442
980,Transporte Merlo 11-5631-1119,Castañon 3685 
981,Expreso MZ,Castañon 3682 
982,Trasnporte Crisol,Monteagudo 754 CAba
983,Bara Pack Est.cargas Caba Srl,Fructuoso Rivera 2660
984,MD CARGAS,AV.SAN MARTIN  Y MURATORE
985,Transporte Petrel,Gral Francisco Fernandez De La Cruz 2476
986,Transporte Bin Pack,Pergamino 3751
987,Expreso Cargo SA,Pepiri1386
988,Expreso Cargo,Pepiri 1386
989,Expreso 5,Uspallata 2638
990,Expreso Car-pack 4581-3716,Maturín 2470
991,TRANSPORTEHERO SRL,ALMAFUERTE 429
992,Nueva Roma,O.Bonavena 1268
993,Expreso Astutti S.C,Ancaste 3650
994,Transporte Don Fabio,Montesquieu 587
995,Trasnporte Re Srl,John Cooke 3155
996,TRASNPORTE SOL NACIENTE,OSCAR BONAVENA 1268
997,O.L Logistica SRL 4919-6539,Ferre 2035
998,Expreso San Aurelio,Santa Catalina 1769
999,Tokio,Beron De Astrada 1929
1000,TRASNPORTE RINA,MONS BUFANO 3057
1001,TRANSPORTE BECERRA,FRUCTUOSO RIVERA 2660
1002,CTD,Rabanal 2792
1003,San Martin Encomiendas,Avda San Martin Y Murature
1004,Global Pack 7539-1491,Timoteo Gordillo 3851
1005,TRANSPORTE DE CARGAS DE MAYO,PARACAS253 
1006,Cuarto De Milla,Uspallata 2638
1007,Delog S.A 11-5563-6806,Rio Cuarto 4838 Bº 
1008,Expreso El Santi ,AvSan Juan B De Lasalle 1926/Transp Roca
1009,Transporte Bicentenario,Julio Troxler 3120
1010,SLP Serv Logisticos Y Postales SA,John Cooke 3155 E/San Pedrito Y Pergamin
1011,Tio Rico,Culpina 3518
1012,Sol De Cuyo,Pte. Peron 5040 E/Mandeville Y Zapiola
1013,Doble G,Tandil 6648
1014,Velomat,Mom 2161
1015,Alianza,gustín de Vedia 3056 e/Corrales y Tabaré
1016,Expreso Maldonado,Av.Amancio Alcorta 3205
1017,Brochero,Algarrobo 1080
1018,Transporte Don Eduardo,Benito Quinquela Martin 2310
1019,Expreso Fontana,Dr. Pedro Baliña 4060 Y Pepiri 
1020,Seven Express,Beron De Astrda 2575
1021,Transporte Petrel,Av.Gral Francisco De La Cruz 2476
1022,Neotrans SA,Tabaré Nº 1240
1023,BUSPACK EXPRESS VILLA LYNCH,Av. Gral San Martin 700
1024,Argenpaq,Beron De Astrada 2712 
1025,VIA TRUK,CORRALES 1501/99
1026,V.CARGO (DESTINO PINEDO-CHACO) RETIRA CL,
1027,Lourdes,Castañon 3685 
1028,Logistica Olavarria,Potosi 1965
1029,Juventud,Enrique Ochoa 220
1030,Logística Salta,Estanislao Zeballos 333
1031,Don Lucho,Castañon 3556
1032,Ruta 74,Av.Suarez 2590
